name,ring,quadrant,isNew,description
Implied Signoffs on Security and Ops Policies via Config Management,adopt,techniques,TRUE,
U.S.E Method of Performance analysis,adopt,techniques,TRUE,
Codify Security & Ops Policies,adopt,techniques,TRUE,
Scala,adopt,languages & frameworks,TRUE,
Apache Spark,adopt,languages & frameworks,TRUE,
Spark Streaming,adopt,languages & frameworks,TRUE,
"Akka Cluster (Std, Singleton, CQRS)",adopt,platforms,TRUE,
Akka Streams,adopt,languages & frameworks,TRUE,
Akka HTTP,adopt,languages & frameworks,TRUE,
Akka Persistence,adopt,languages & frameworks,TRUE,
Python 2.7,adopt,languages & frameworks,TRUE,
Python 3,adopt,languages & frameworks,TRUE,
Gatling for Stress testing,adopt,tools,TRUE,
ETW Logging,adopt,platforms,TRUE,
Kotlin,adopt,languages & frameworks,TRUE,
Golang,adopt,languages & frameworks,TRUE,
"KDB, Q",adopt,platforms,TRUE,
Java,adopt,languages & frameworks,TRUE,
"Spring (Cloud, Boot)",adopt,platforms,TRUE,
Webpack,adopt,tools,TRUE,
Node.js,adopt,platforms,TRUE,
Eclipse SWT+JFace,adopt,platforms,TRUE,
KOA,adopt,languages & frameworks,TRUE,
ReactJS,adopt,languages & frameworks,TRUE,
Gherkin,adopt,tools,TRUE,
Chai,adopt,tools,TRUE,
Mocha,adopt,tools,TRUE,
More frequent deployments,adopt,techniques,TRUE,
Source Control all artefacts,adopt,techniques,TRUE,
Flyway,adopt,tools,TRUE,
Clojure 1.9,adopt,languages & frameworks,TRUE,
Deployment manifest,adopt,techniques,TRUE,
VAVR,trial,tools,TRUE,
Vue.js,trial,languages & frameworks,TRUE,
GraphQL,trial,languages & frameworks,TRUE,
MS SQL Server,trial,platforms,TRUE,
.NET Core,trial,platforms,TRUE,
Room (Android),trial,tools,TRUE,
Splunk,trial,tools,TRUE,
ELK,trial,tools,TRUE,
RocksDB,trial,tools,TRUE,
SQLAlchemy,trial,languages & frameworks,TRUE,
Play Framework,trial,languages & frameworks,TRUE,
Parquet,trial,tools,TRUE,
Azure,trial,platforms,TRUE,
Chrome Dev debugging framework,trial,tools,TRUE,
TensorFlow,trial,tools,TRUE,
Keras,trial,tools,TRUE,
AssertJ,trial,tools,TRUE,
Swagger,trial,tools,TRUE,
EBPF for analysis,assess,tools,TRUE,
Flutter (Dart),assess,languages & frameworks,TRUE,
Gauge (testing),assess,tools,TRUE,
Service Workers,assess,platforms,TRUE,
Robot framework (testing),assess,languages & frameworks,TRUE,
R,assess,languages & frameworks,TRUE,
F#,assess,languages & frameworks,TRUE,
"Saying ""CICD"" instead of ""CD""",hold,techniques,TRUE,
Writing unit tests after writing code (instead of before),hold,techniques,TRUE,
Google app engine,hold,platforms,TRUE,
.NET,hold,platforms,TRUE,